"product_type","category"
"Under-Car Lighting","Vehicles, Parts & Accessories"
"Starting Fluid","Vehicles, Parts & Accessories"
"Automotive Wiper Arms","Vehicles, Parts & Accessories"
"Automotive Dashboard Covers","Vehicles, Parts & Accessories"
"Power Steering Pumps","Vehicles, Parts & Accessories"
"ATV Covers","Vehicles, Parts & Accessories"
"Fuel Injectors","Vehicles, Parts & Accessories"
"Sunglass Visor Clips","Vehicles, Parts & Accessories"
"Automotive Glass Repair Tools","Vehicles, Parts & Accessories"
"Tire Steps","Vehicles, Parts & Accessories"
"Automotive Litter Bags & Baskets","Vehicles, Parts & Accessories"
"Automotive Headliners","Vehicles, Parts & Accessories"
"Rearview Mirror Repair Kits","Vehicles, Parts & Accessories"
"Automotive Filter Installation & Mounting Accessories","Vehicles, Parts & Accessories"
"Vehicle Escape Tools","Vehicles, Parts & Accessories"
"Motorcycle Horns","Vehicles, Parts & Accessories"
"Automotive Diffusers & Splitters","Vehicles, Parts & Accessories"
"Air Conditioning Compressors","Vehicles, Parts & Accessories"
"Vehicle Windshields","Vehicles, Parts & Accessories"
"Fuel Distributors","Vehicles, Parts & Accessories"
"Odometers","Vehicles, Parts & Accessories"
"Automotive Aerodynamics Kits","Vehicles, Parts & Accessories"
"Automotive Refrigeration & Warming Units","Vehicles, Parts & Accessories"
"Automotive Wiper Cowls","Vehicles, Parts & Accessories"
"Automotive Glass Repair Compounds","Vehicles, Parts & Accessories"
"Automotive Glow Plugs","Vehicles, Parts & Accessories"
"Automotive Headliner Retainers","Vehicles, Parts & Accessories"
"Motorcycle Bags","Vehicles, Parts & Accessories"
"Automotive Key Holders","Vehicles, Parts & Accessories"
"Coating Thickness Gauges","Vehicles, Parts & Accessories"
"Automotive Lockout Tools","Vehicles, Parts & Accessories"
"Brake Pad Spreaders","Vehicles, Parts & Accessories"
"Pedal Covers","Vehicles, Parts & Accessories"
"Automotive Ashtrays","Vehicles, Parts & Accessories"
"Luggage & Luggage Sets","Travel, Luggage & Accessories"
"Duffel Bags","Travel, Luggage & Accessories"
"Packing Organizers, Cubes & Folders","Travel, Luggage & Accessories"
"Briefcases","Travel, Luggage & Accessories"
"Messenger & Shoulder Bags","Travel, Luggage & Accessories"
"Luggage Tags","Travel, Luggage & Accessories"
"Backpacks","Travel, Luggage & Accessories"
"Travel Pillows","Travel, Luggage & Accessories"
"Garment Bags","Travel, Luggage & Accessories"
"Luggage Scales","Travel, Luggage & Accessories"
"Money Belts","Travel, Luggage & Accessories"
"Luggage Racks","Travel, Luggage & Accessories"
"Passport Holders","Travel, Luggage & Accessories"
"Refillable Travel Bottles","Travel, Luggage & Accessories"
"Luggage Carts","Travel, Luggage & Accessories"
"Reusable Eco Bags","Travel, Luggage & Accessories"
"Other Travel Accessories","Travel, Luggage & Accessories"
"Luggage Locks","Travel, Luggage & Accessories"
"Luggage Straps","Travel, Luggage & Accessories"
"Board Games","Toys & Games"
"Play Vehicles","Toys & Games"
"Tile Games","Toys & Games"
"Dice","Toys & Games"
"Dice Games","Toys & Games"
"Game Replacement Parts","Toys & Games"
"Card Games","Toys & Games"
"Action Figures","Toys & Games"
"Poker Sets","Toys & Games"
"Model Building Kits","Toys & Games"
"Playground Balls","Toys & Games"
"Toy Replacement Parts & Accessories","Toys & Games"
"Stuffed Animals & Plush Toys","Toys & Games"
"Assembly & Disassembly Puzzles","Toys & Games"
"Toy Sports Equipment","Toys & Games"
"Playground Climbers","Toys & Games"
"Electronic Pets","Toys & Games"
"Radio Control Tanks","Toys & Games"
"Dolls","Toys & Games"
"Doll Playsets","Toys & Games"
"Action Figure Sets","Toys & Games"
"Flying Discs","Toys & Games"
"Toy Musical Instruments","Toys & Games"
"Doll Furniture","Toys & Games"
"Novelty & Gag Toys","Toys & Games"
"Model Train Sets","Toys & Games"
"Science Sets","Toys & Games"
"Alphabet Toys","Toys & Games"
"Radio Control Boats & Watercraft","Toys & Games"
"Swing Sets","Toys & Games"
"Push & Pedal Ride-Ons","Toys & Games"
"Pinwheels & Wind Spinners","Toys & Games"
"Dollhouses","Toys & Games"
"Construction Set Toys","Toys & Games"
"Sand & Water Tables","Toys & Games"
"Interlocking Block Building Sets","Toys & Games"
"Hourglass Timers","Toys & Games"
"Other Learning & Educational Toys","Toys & Games"
"Puzzle Play Mats","Toys & Games"
"Outdoor Playsets","Toys & Games"
"Trading Card Games","Toys & Games"
"Standard Playing Card Decks","Toys & Games"
"Vehicle Playsets","Toys & Games"
"Other Pretend Play Toys","Toys & Games"
"Jigsaw Puzzles","Toys & Games"
"Trampolines","Toys & Games"
"Radio Control Cars","Toys & Games"
"Action Figure Accessories","Toys & Games"
"Play Kitchen Appliances","Toys & Games"
"Bubble Blowing Toys","Toys & Games"
"Swing Set Accessories","Toys & Games"
"Other Games","Toys & Games"
"Magnetic Toys","Toys & Games"
"Powered Ride-Ons","Toys & Games"
"Doll Accessories","Toys & Games"
"Lawn Games","Toys & Games"
"Play Food","Toys & Games"
"Magic Tricks","Toys & Games"
"Mathematics & Counting Toys","Toys & Games"
"Beanbags","Toys & Games"
"Play Tea Sets & Dishes","Toys & Games"
"Toy Balls","Toys & Games"
"Play Furniture Sets","Toys & Games"
"Poker Chips","Toys & Games"
"Electronic Learning Systems","Toys & Games"
"Play Construction Toys & Tools","Toys & Games"
"Playhouses","Toys & Games"
"Hula Hoops","Toys & Games"
"Tricycles","Toys & Games"
"Radio Control Helicopters","Toys & Games"
"Play Cash Registers","Toys & Games"
"Rocking & Spring Ride-Ons","Toys & Games"
"Toy Doodle Tablets","Toys & Games"
"Bocce Sets","Toys & Games"
"Balance Bikes","Toys & Games"
"Boomerangs","Toys & Games"
"Game Add-On","Toys & Games"
"Coiled Spring Toys","Toys & Games"
"Toy Phones","Toys & Games"
"Blasters & Foam Play","Toys & Games"
"Robot Toys","Toys & Games"
"Play Kitchens","Toys & Games"
"Model Train Scenery","Toys & Games"
"Foosball Tables","Toys & Games"
"Sandboxes","Toys & Games"
"Slime","Toys & Games"
"Model Train Track","Toys & Games"
"Puzzle Cubes","Toys & Games"
"Marble Runs","Toys & Games"
"Puzzle Sorting Trays","Toys & Games"
"Toy Blocks","Toys & Games"
"Marbles","Toys & Games"
"Play Tents","Toys & Games"
"Play Gardening Tools","Toys & Games"
"Dollhouse Accessories","Toys & Games"
"Wind-Up Toys","Toys & Games"
"Puppets","Toys & Games"
"Vinyl Figures","Toys & Games"
"Play Money","Toys & Games"
"Beanbag Toss Game Sets","Toys & Games"
"Doll Clothing","Toys & Games"
"Target Toss Games","Toys & Games"
"Seesaws","Toys & Games"
"Play Housekeeping Toys","Toys & Games"
"Bingo Sets","Toys & Games"
"Sand Toys","Toys & Games"
"Model Train Locomotives","Toys & Games"
"Water Balloons","Toys & Games"
"Air Hockey Sets","Toys & Games"
"Slot Car Sets","Toys & Games"
"Water Guns","Toys & Games"
"Stacking Games","Toys & Games"
"Playground Slides","Toys & Games"
"Slot Car Track","Toys & Games"
"Fidget Spinners","Toys & Games"
"Walking Stilts","Toys & Games"
"Play Medical Toys","Toys & Games"
"3D Puzzles","Toys & Games"
"Tetherball Equipment","Toys & Games"
"Puzzle Mats","Toys & Games"
"Dreidels","Toys & Games"
"Doll Strollers","Toys & Games"
"Pogo Sticks","Toys & Games"
"Battling Tops","Toys & Games"
"Play Shopping Carts","Toys & Games"
"Ball Pits","Toys & Games"
"Radio Control Airplanes","Toys & Games"
"Bath Toy Storage","Toys & Games"
"Floor Games","Toys & Games"
"Chess Boards & Chess Game Sets","Toys & Games"
"Horseshoe Games","Toys & Games"
"Abacuses","Toys & Games"
"Playground Balance Beams","Toys & Games"
"Toy Mazes","Toys & Games"
"Ball Pit Balls","Toys & Games"
"Play Cooking & Baking Toys","Toys & Games"
"Push & Pull Toys","Toys & Games"
"Living Animal Kits","Toys & Games"
"Kaleidoscopes","Toys & Games"
"Croquet Sets","Toys & Games"
"Radio Control Vehicle Battery Chargers","Toys & Games"
"Ladder Ball Sets","Toys & Games"
"Stacking & Nesting Toys","Toys & Games"
"Electronic Basketball","Toys & Games"
"Juggling Toys","Toys & Games"
"Pickle Ball Equipment","Toys & Games"
"Inflatable Bouncers","Toys & Games"
"Bath Toys","Toys & Games"
"Wagons","Toys & Games"
"Bobbleheads","Toys & Games"
"Play Parachutes","Toys & Games"
"Model Train Rolling Stock","Toys & Games"
"Crawl Tubes","Toys & Games"
"Stick Horses","Toys & Games"
"Dollhouse Furniture","Toys & Games"
"Slot Cars","Toys & Games"
"Arcade Video Game Machines","Toys & Games"
"Foosball Balls","Toys & Games"
"Kites","Toys & Games"
"Bug Collecting Kits","Toys & Games"
"Solar System Toys","Toys & Games"
"Water Bead Ammunition","Toys & Games"
"Puzzle Glue","Toys & Games"
"Handheld Video Games","Toys & Games"
"Toy Billiards","Toys & Games"
"Puzzle Replacement Parts & Accessories","Toys & Games"
"Lawn Water Slides","Toys & Games"
"Water Bead Blasters","Toys & Games"
"Yo-Yos","Toys & Games"
"Spinning Tops","Toys & Games"
"Shape Sorting Toys","Toys & Games"
"Card Shufflers","Toys & Games"
"Toy Cameras","Toys & Games"
"Slot Car Replacement Parts","Toys & Games"
"Combination Table Games","Toys & Games"
"Splash Pads","Toys & Games"
"Space Hoppers","Toys & Games"
"Toy Viewfinders","Toys & Games"
"Roulette Wheels","Toys & Games"
"Puppet Theaters","Toys & Games"
"Abrasive Wheels & Discs","Tools & Hardware"
"Pipe & Plumbing Tubing","Tools & Hardware"
"Bathtubs","Tools & Hardware"
"Showerheads & Handheld Showers","Tools & Hardware"
"Ducting","Tools & Hardware"
"Cabinet & Furniture Pulls","Tools & Hardware"
"Hardware Hooks","Tools & Hardware"
"Spray Guns","Tools & Hardware"
"Air Compressors","Tools & Hardware"
"Staircase & Floor Step Treads","Tools & Hardware"
"Electrical Switches","Tools & Hardware"
"Other Hardware","Tools & Hardware"
"Hardware Pins","Tools & Hardware"
"Eyes","Tools & Hardware"
"Water Transfer Pumps","Tools & Hardware"
"Toilet Bowls","Tools & Hardware"
"Pipe Fittings & Couplers","Tools & Hardware"
"Marine Paints","Tools & Hardware"
"Machine & Tool Lubricants","Tools & Hardware"
"Wire Connectors","Tools & Hardware"
"Electrical Wire","Tools & Hardware"
"Drill Bits & Sets","Tools & Hardware"
"Hardware Screws","Tools & Hardware"
"Drill Bit Extensions","Tools & Hardware"
"Threading Taps","Tools & Hardware"
"Threading Dies","Tools & Hardware"
"Hardware Knobs","Tools & Hardware"
"Caulk","Tools & Hardware"
"Household Paints & Stains","Tools & Hardware"
"Putty Knives","Tools & Hardware"
"Wood Finish","Tools & Hardware"
"Paint Roller Covers","Tools & Hardware"
"Hex Tools","Tools & Hardware"
"Power Tool Blades","Tools & Hardware"
"Chisels","Tools & Hardware"
"Collated Nails","Tools & Hardware"
"Handsaw Blades","Tools & Hardware"
"Cable Ties","Tools & Hardware"
"Electrical Conduit Fittings","Tools & Hardware"
